time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-14T18:03:38.159Z,33.4418,140.7426,57.216,4.5,mb,82,114,0.843,0.57,us,us7000mz88,2024-09-20T16:00:56.040Z,"189 km SSE of Tateyama, Japan",earthquake,8.33,6.934,0.055,96,reviewed,us,us
2024-07-06T10:21:19.268Z,33.4402,140.5032,58.147,4.8,mb,77,111,0.662,1.06,us,us7000mxei,2024-09-12T21:52:29.040Z,"180 km SSE of Tateyama, Japan",earthquake,6.86,0.952,0.039,203,reviewed,us,us
2024-07-04T03:12:30.294Z,35.0839,140.3095,47.606,5.1,mww,179,89,2.006,0.66,us,us7000mwzq,2024-09-12T21:52:28.040Z,"6 km S of Katsuura, Japan",earthquake,6.88,5.484,0.098,10,reviewed,us,us
2024-07-02T11:40:42.108Z,36.1751,138.2743,186.732,4.2,mb,18,107,0.37,0.29,us,us7000my2h,2024-09-12T21:52:31.040Z,"12 km S of Nagawa, Japan",earthquake,7.17,5.528,0.187,8,reviewed,us,us
2024-06-30T01:15:58.140Z,34.557,140.6557,43.543,4.4,mb,45,113,0.8,0.55,us,us6000n99j,2024-09-04T21:57:44.040Z,"72 km SSE of Katsuura, Japan",earthquake,6.72,7.427,0.121,21,reviewed,us,us
2024-06-28T18:19:45.511Z,32.5709,139.265,214.604,4.1,mb,15,145,0.7,0.59,us,us7000mx8h,2024-09-04T21:57:43.040Z,"235 km S of Shimoda, Japan",earthquake,10.81,6.185,0.26,4,reviewed,us,us
2024-06-27T16:19:08.767Z,34.0045,141.5847,10,4.6,mb,57,111,1.724,1.04,us,us6000n8n1,2024-09-04T21:57:42.040Z,"172 km SE of Katsuura, Japan",earthquake,7.13,1.851,0.074,55,reviewed,us,us
2024-06-25T08:30:59.769Z,33.4839,141.3336,34.723,5.4,mww,137,30,1.325,1.01,us,us6000n82p,2024-09-04T21:57:40.040Z,"206 km SSE of Katsuura, Japan",earthquake,5.89,3.604,0.049,40,reviewed,us,us
2024-06-24T14:24:18.188Z,35.8175,139.3163,63.689,4.2,mb,43,69,0.959,0.99,us,us7000muc7,2024-09-04T21:57:39.040Z,"3 km S of Hannō, Japan",earthquake,4.48,6.91,0.118,20,reviewed,us,us
2024-06-24T02:00:08.928Z,32.4694,142.4758,9.747,4.7,mww,116,28,2.333,0.59,us,us7000mu7g,2024-09-04T21:57:39.040Z,"Izu Islands, Japan region",earthquake,4.31,3.011,0.08,15,reviewed,us,us
2024-06-23T13:54:25.714Z,35.6035,140.0373,70.113,4.5,mb,45,107,1.752,0.78,us,us7000mu4d,2024-08-30T18:17:06.040Z,"5 km SSW of Kemigawa, Japan",earthquake,7.04,7.063,0.106,26,reviewed,us,us
2024-06-22T00:33:34.828Z,36.2412,141.5692,28.951,4.6,mb,94,130,2.728,0.7,us,us7000mtvq,2024-08-30T18:17:07.040Z,"87 km NE of Hasaki, Japan",earthquake,6.81,5.404,0.067,66,reviewed,us,us
2024-06-16T10:35:01.200Z,35.7363,140.1614,65.859,4.5,mwr,49,123,1.773,0.7,us,us7000msss,2024-08-23T18:04:27.040Z,"5 km SW of Inba, Japan",earthquake,7.39,6.731,0.089,12,reviewed,us,us
2024-06-16T10:16:36.236Z,35.7347,140.1584,67.391,4.5,mb,53,88,1.771,0.68,us,us7000mssq,2024-08-23T18:04:27.040Z,"6 km SW of Inba, Japan",earthquake,7.64,7.131,0.069,61,reviewed,us,us
2024-06-09T17:25:02.634Z,32.4572,137.7426,389.131,4.1,mb,71,74,1.864,0.52,us,us7000mrdj,2024-08-16T21:59:21.040Z,"215 km ESE of Kushimoto, Japan",earthquake,8.71,7.228,0.064,67,reviewed,us,us
2024-06-06T00:03:25.979Z,35.549,140.6854,43.001,4.7,mwr,209,116,2.238,0.58,us,us7000mqlh,2024-08-16T21:59:22.040Z,"18 km S of Asahi, Japan",earthquake,7.28,5.615,0.073,18,reviewed,us,us
2024-06-05T12:54:16.641Z,36.1819,139.7395,74.838,4.1,mwr,55,127,1.291,0.52,us,us7000mqhh,2024-08-16T21:59:21.040Z,"2 km E of Koga, Japan",earthquake,7.65,8.362,0.093,11,reviewed,us,us
2024-06-05T01:54:05.096Z,34.2786,136.9918,361.872,4.1,mb,28,79,1.069,0.52,us,us7000mry0,2024-08-16T21:59:26.040Z,"15 km ESE of Shima, Japan",earthquake,8.54,6.029,0.166,10,reviewed,us,us
2024-06-03T03:56:47.097Z,35.5321,139.1111,140.977,4.2,mb,42,122,1.245,0.68,us,us7000mpui,2024-08-16T21:59:26.040Z,"9 km S of Uenohara, Japan",earthquake,6.34,2.87,0.124,18,reviewed,us,us
2024-05-30T15:27:11.677Z,33.1535,140.6841,66.105,4.3,mb,22,145,0.731,0.96,us,us7000mqng,2024-08-06T20:32:51.040Z,"216 km SSE of Tateyama, Japan",earthquake,8.69,8.057,0.153,12,reviewed,us,us
2024-05-29T17:32:43.825Z,33.1079,141.9007,18.574,4.5,mb,33,129,1.751,0.84,us,us7000mqim,2024-08-06T20:32:51.040Z,"269 km SSE of Katsuura, Japan",earthquake,7.83,5.083,0.144,14,reviewed,us,us
2024-05-29T17:14:58.129Z,32.3127,137.564,392.698,5.5,mww,173,20,2.036,0.69,us,us7000mnu8,2024-08-06T20:32:47.040Z,"210 km SE of Kushimoto, Japan",earthquake,8.1,3.749,0.051,37,reviewed,us,us
2024-05-29T15:58:41.297Z,33.1402,141.8789,10,4.2,mb,28,155,1.733,0.54,us,us7000mqik,2024-08-06T20:32:51.040Z,"265 km SSE of Katsuura, Japan",earthquake,8.96,1.935,0.186,8,reviewed,us,us
2024-05-27T06:40:35.170Z,33.513,141.128,40.186,4.3,mb,39,119,1.17,0.53,us,us7000mq22,2024-08-06T20:32:51.040Z,"196 km SSE of Katsuura, Japan",earthquake,7.35,7.606,0.119,20,reviewed,us,us
2024-05-25T15:55:35.442Z,36.1015,140.0475,66.298,4.8,mww,188,42,1.548,0.61,us,us6000n0yw,2024-08-06T02:09:48.040Z,"7 km ESE of Ishige, Japan",earthquake,5.73,4.758,0.075,17,reviewed,us,us
2024-05-25T15:06:59.686Z,33.3973,141.1516,40.079,4.7,mb,175,51,1.156,0.74,us,us6000n0yn,2024-08-06T02:09:52.040Z,"208 km SSE of Katsuura, Japan",earthquake,2.18,5.342,0.044,167,reviewed,us,us
2024-05-21T21:40:16.388Z,35.7329,140.2705,75.779,4.4,mb,25,131,1.854,0.96,us,us7000mnj8,2024-08-06T02:09:46.040Z,"1 km N of Shisui, Japan",earthquake,7.81,4.612,0.189,8,reviewed,us,us
2024-05-21T01:07:02.607Z,33.6503,140.7802,35,4.3,mb,33,117,0.969,0.5,us,us7000mnib,2024-08-06T02:09:58.040Z,"169 km SSE of Wada, Japan",earthquake,3.61,1.919,0.138,15,reviewed,us,us
2024-05-19T08:15:37.381Z,33.9018,138.0976,266.083,4.3,mb,69,67,1.634,0.68,us,us6000mzm2,2024-07-26T23:58:13.040Z,"78 km S of Ōyama, Japan",earthquake,7.8,5.164,0.056,89,reviewed,us,us
2024-05-18T00:55:45.225Z,35.8212,140.9919,20.12,4.5,mb,91,116,2.363,0.45,us,us6000mzc0,2024-07-26T23:58:11.040Z,"17 km NE of Hasaki, Japan",earthquake,7.87,2.395,0.067,66,reviewed,us,us
2024-05-17T03:42:00.166Z,32.5495,140.5424,70.249,4.5,mb,67,109,0.833,0.74,us,us6000mz43,2024-07-26T23:58:10.040Z,"277 km SSE of Tateyama, Japan",earthquake,7.9,6.089,0.056,92,reviewed,us,us
2024-05-15T03:46:36.137Z,34.3873,140.5672,78.251,4.1,mb,19,150,1.415,0.39,us,us6000n0a3,2024-07-26T23:58:09.040Z,"87 km SSE of Katsuura, Japan",earthquake,8.45,6.712,0.198,7,reviewed,us,us
2024-05-07T18:04:48.396Z,33.0594,138.3064,298.304,4,mb,100,79,1.241,0.96,us,us6000mx1a,2024-07-20T22:20:02.040Z,"171 km S of Ōyama, Japan",earthquake,7.75,4.155,0.063,68,reviewed,us,us
2024-05-05T06:54:49.632Z,32.3056,140.5662,60.846,4.5,mb,85,111,1.027,0.42,us,us6000mwfc,2024-07-15T03:57:54.040Z,"Izu Islands, Japan region",earthquake,6.43,6.466,0.063,74,reviewed,us,us
2024-04-27T20:43:31.189Z,35.1815,137.3209,291.032,4.7,mb,119,48,0.292,0.57,us,us6000mugn,2024-07-02T22:12:23.040Z,"19 km NE of Toyota, Japan",earthquake,6.16,2.991,0.025,480,reviewed,us,us
2024-04-23T17:01:58.641Z,35.5709,140.0758,71.115,4.3,mb,35,90,0.327,0.42,us,us6000mt8x,2024-07-02T22:12:43.040Z,"4 km SW of Chiba, Japan",earthquake,7.38,3.574,0.142,15,reviewed,us,us
2024-04-21T12:28:14.059Z,34.3971,136.9666,328.88,4.3,mb,123,93,0.952,0.74,us,us7000mdna,2024-06-25T21:03:22.040Z,"14 km ENE of Shima, Japan",earthquake,8.87,6.473,0.036,217,reviewed,us,us
